Date,Actual,Forecast,Previous
"Jan 29, 2025",4.50%,4.50%,4.50%
"Dec 18, 2024",4.50%,4.50%,4.75%
"Nov 7, 2024",4.75%,4.75%,5.00%
"Sep 18, 2024",5.00%,5.25%,5.50%
"Jul 31, 2024",5.50%,5.50%,5.50%
"Jun 12, 2024",5.50%,5.50%,5.50%
"May 1, 2024",5.50%,5.50%,5.50%
"Mar 20, 2024",5.50%,5.50%,5.50%
"Jan 31, 2024",5.50%,5.50%,5.50%
"Dec 13, 2023",5.50%,5.50%,5.50%
"Nov 1, 2023",5.50%,5.50%,5.50%
"Sep 20, 2023",5.50%,5.50%,5.50%
"Jul 26, 2023",5.50%,5.50%,5.25%
"Jun 14, 2023",5.25%,5.25%,5.25%
"May 3, 2023",5.25%,5.25%,5.00%
"Mar 22, 2023",5.00%,5.00%,4.75%
"Feb 1, 2023",4.75%,4.75%,4.50%
"Dec 14, 2022",4.50%,4.50%,4.00%
"Nov 2, 2022",4.00%,4.00%,3.25%
"Sep 21, 2022",3.25%,3.25%,2.50%
"Jul 27, 2022",2.50%,2.50%,1.75%
"Jun 15, 2022",1.75%,1.50%,1.00%
"May 4, 2022",1.00%,1.00%,0.50%
"Mar 16, 2022",0.50%,0.50%,<0.25%
"Jan 26, 2022",<0.25%,<0.25%,<0.25%
"Dec 15, 2021",<0.25%,<0.25%,<0.25%
"Nov 3, 2021",<0.25%,<0.25%,<0.25%
"Sep 22, 2021",<0.25%,<0.25%,<0.25%
"Jul 28, 2021",<0.25%,<0.25%,<0.25%
"Jun 16, 2021",<0.25%,<0.25%,<0.25%
"Apr 28, 2021",<0.25%,<0.25%,<0.25%
"Mar 17, 2021",<0.25%,<0.25%,<0.25%
"Jan 27, 2021",<0.25%,<0.25%,<0.25%
"Dec 16, 2020",<0.25%,<0.25%,<0.25%
"Nov 5, 2020",<0.25%,<0.25%,<0.25%
"Sep 16, 2020",<0.25%,<0.25%,<0.25%
"Jul 29, 2020",<0.25%,<0.25%,<0.25%
"Jun 10, 2020",<0.25%,<0.25%,<0.25%
"Apr 29, 2020",<0.25%,<0.25%,<0.25%
"Mar 15, 2020",<0.25%,,1.25%
"Mar 3, 2020",1.25%,,1.75%
"Jan 29, 2020",1.75%,1.75%,1.75%
"Dec 11, 2019",1.75%,1.75%,1.75%
"Oct 30, 2019",1.75%,1.75%,2.00%
"Sep 18, 2019",2.00%,2.00%,2.25%
"Jul 31, 2019",2.25%,2.25%,2.50%
"Jun 19, 2019",2.50%,2.50%,2.50%
"May 1, 2019",2.50%,2.50%,2.50%
"Mar 20, 2019",2.50%,2.50%,2.50%
"Jan 30, 2019",2.50%,2.50%,2.50%
"Dec 19, 2018",2.50%,2.50%,2.25%
"Nov 8, 2018",2.25%,2.25%,2.25%
"Sep 26, 2018",2.25%,2.25%,2.00%
"Aug 1, 2018",2.00%,2.00%,2.00%
"Jun 13, 2018",2.00%,2.00%,1.75%
"May 2, 2018",1.75%,1.75%,1.75%
"Mar 21, 2018",1.75%,1.75%,1.50%
"Jan 31, 2018",1.50%,1.50%,1.50%
"Dec 13, 2017",1.50%,1.50%,1.25%
"Nov 1, 2017",1.25%,1.25%,1.25%
"Sep 20, 2017",1.25%,1.25%,1.25%
"Jul 26, 2017",1.25%,1.25%,1.25%
"Jun 14, 2017",1.25%,1.25%,1.00%
"May 3, 2017",1.00%,1.00%,1.00%
"Mar 15, 2017",1.00%,1.00%,0.75%
"Feb 1, 2017",0.75%,0.75%,0.75%
"Dec 14, 2016",0.75%,0.75%,0.50%
"Nov 2, 2016",0.50%,0.50%,0.50%
"Sep 21, 2016",0.50%,0.50%,0.50%
"Jul 27, 2016",0.50%,0.50%,0.50%
"Jun 15, 2016",0.50%,0.50%,0.50%
"Apr 27, 2016",0.50%,0.50%,0.50%
"Mar 16, 2016",0.50%,0.50%,0.50%
"Jan 27, 2016",0.50%,0.50%,0.50%
"Dec 16, 2015",0.50%,0.50%,<0.25%
"Oct 28, 2015",<0.25%,<0.25%,<0.25%
"Sep 17, 2015",<0.25%,<0.25%,<0.25%
"Jul 29, 2015",<0.25%,<0.25%,<0.25%
"Jun 17, 2015",<0.25%,<0.25%,<0.25%
"Apr 29, 2015",<0.25%,<0.25%,<0.25%
"Mar 18, 2015",<0.25%,<0.25%,<0.25%
"Jan 28, 2015",<0.25%,<0.25%,<0.25%
"Dec 17, 2014",<0.25%,<0.25%,<0.25%
"Oct 29, 2014",<0.25%,<0.25%,<0.25%
"Sep 17, 2014",<0.25%,<0.25%,<0.25%
"Jul 30, 2014",<0.25%,<0.25%,<0.25%
"Jun 18, 2014",<0.25%,<0.25%,<0.25%
"Apr 30, 2014",<0.25%,<0.25%,<0.25%
"Mar 19, 2014",<0.25%,<0.25%,<0.25%
"Jan 29, 2014",<0.25%,<0.25%,<0.25%
"Dec 18, 2013",<0.25%,<0.25%,<0.25%
"Oct 30, 2013",<0.25%,<0.25%,<0.25%
"Sep 18, 2013",<0.25%,<0.25%,<0.25%
"Jul 31, 2013",<0.25%,<0.25%,<0.25%
"Jun 19, 2013",<0.25%,<0.25%,<0.25%
"May 1, 2013",<0.25%,<0.25%,<0.25%
"Mar 20, 2013",<0.25%,<0.25%,<0.25%
"Jan 30, 2013",<0.25%,<0.25%,<0.25%
"Dec 12, 2012",<0.25%,<0.25%,<0.25%
"Oct 24, 2012",<0.25%,<0.25%,<0.25%
"Sep 13, 2012",<0.25%,<0.25%,<0.25%
"Aug 1, 2012",<0.25%,<0.25%,<0.25%
"Jun 20, 2012",<0.25%,<0.25%,<0.25%
"Apr 25, 2012",<0.25%,<0.25%,<0.25%
"Mar 13, 2012",<0.25%,<0.25%,<0.25%
"Jan 25, 2012",<0.25%,<0.25%,<0.25%
"Dec 13, 2011",<0.25%,<0.25%,<0.25%
"Nov 2, 2011",<0.25%,<0.25%,<0.25%
"Sep 21, 2011",<0.25%,<0.25%,<0.25%
"Aug 9, 2011",<0.25%,<0.25%,<0.25%
"Jun 22, 2011",<0.25%,<0.25%,<0.25%
"Apr 27, 2011",<0.25%,<0.25%,<0.25%
"Mar 15, 2011",<0.25%,<0.25%,<0.25%
"Jan 26, 2011",<0.25%,<0.25%,<0.25%
"Dec 14, 2010",<0.25%,<0.25%,<0.25%
"Nov 3, 2010",<0.25%,<0.25%,<0.25%
